problem,planLength,totalTime,ehcTime,bfsTime
1,9,0.0142909,0.009561499999999999,0.0
2,18,0.0250623,0.0180742,0.0
3,13,0.0343094,0.025075599999999997,0.0
4,19,0.0508951,0.0364404,0.0
5,19,0.0695932,0.0507464,0.0
6,23,0.0797453,0.06087800000000001,0.0
7,23,0.1255724,0.0948995,0.0
8,27,0.1856697,0.14876109999999995,0.0
9,34,0.297453,0.21198039999999996,0.0
10,32,0.3205168,0.23861560000000004,0.0
11,35,0.4659002,0.3494977999999999,0.0
12,46,0.8856996,0.6733771000000002,0.0
13,68,1.6339464,1.2769016,0.0
14,43,0.9814337,0.7250147,0.0
15,60,1.474752,1.1228252999999997,0.0
16,53,2.1279004,1.6653717,0.0
17,48,2.3812511,1.87017,0.0
18,36,0.7127168,0.5356837999999999,0.0
19,103,1.9783205,1.6622941000000002,0.0
20,96,1.8655977,1.4533874,0.0
